setor;Interessado;Paginas;Data;Arquivo
SEFAZ - RECEITA;SIMPLES NACIONAL - A. P. R. MENEZES;6;2026-07-10;
SEFAZ - RECEITA;OFICIO Nº 127-2017;206;2026-07-10;
SEFAZ - RECEITA;DOCUMENTOS DIVERSOS - COFIS-SEFAZ;22;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0091922020-7;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0007492020-0;4;2026-07-10;
SEFAZ - RECEITA;PMZ DISTRIBUIDORA S.A-NOTA FISCAL;2;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0007672020-9;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0113402020-1;59;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0003992020-8;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0035762020-8;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5600302025-3;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5601722025-0;20;2026-07-10;
SEFAZ - RECEITA;INFORMAÇAO FISCAL Nº 2022 NUFES 0455;243;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5638212025-1;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0079682019-8;838;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5638202025-7;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5181032025-9;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0091832022-4;39;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0096432022-3;14;2026-07-10;
SEFAZ - RECEITA;DOCUMENTOS DIVERSOS 2019-2020;35;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0153482018-3;59;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0132382019-1;35;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3030402025-7;27;2026-07-10;
SEFAZ - RECEITA;6872022025-1#CONQUISTA MOTOS E MOTORES LTDA#AUTORIZAÇÃO PARA SAIDA DE VEICULO#PROCESSO;34;2026-07-10;
